SDO_SP_ID,DIV_CODE,CIR_SP_ID,ZON_SP_ID,SDO_NAME,DIV_NAME,CIRCLE_NAME,ZONE_NAME,DISCOM
SDO2233221,DIV223322,CIR22332,ZNE22,2233221-EDSD I RANIA,EDD KANPUR DEHAT,EDC KANPUR DEHAT,KANPUR,DVVNL
SDO2233122,DIV223312,CIR22331,ZNE22,2233122-EDSD II NARWAL,EDD I KANPUR,EDC I KANPUR,KANPUR,DVVNL
SDO2229212,DIV222921,CIR22292,ZNE22,2229212-EDSD II NEEBKARORI,EDD FARRUKKHABAD,EDC FARRUKHABAD,KANPUR,DVVNL
SDO2233233,DIV223323,CIR22332,ZNE22,2233233-EDSD III SIKANDRA,EDD PUKHRAYAN,EDC KANPUR DEHAT,KANPUR,DVVNL
SDO2233211,DIV223321,CIR22332,ZNE22,2233211-EDSD JHINJHAK,EDD JIJHAK,EDC KANPUR DEHAT,KANPUR,DVVNL
SDO2230521,DIV223052,CIR22305,ZNE22,2230521-EDSD I DIBIYAPUR,EDD DIBIAPUR,EDC AURAIYA,KANPUR,DVVNL
SDO2517231,DIV251723,CIR25172,ZNE25,2517231-EDSD I KARHAL,EDD III MAINPURI,EDC MAINPURI,AGRA I,DVVNL
SDO2615443,DIV261544,CIR26154,ZNE26,2615443-EDSD III FATEHPUR SIKRI,EDD KIRAWALI AGRA,EDC AGRA,AGRA II,DVVNL
SDO2517224,DIV251722,CIR25172,ZNE25,2517224-EDSD IV CIVIL LINES RURAL,EDD II MAINPURI,EDC MAINPURI,AGRA I,DVVNL
SDO2516321,DIV251632,CIR25163,ZNE25,2516321-EDSD MOHAMDABAD,EDD-Tundla,EDC FIROZABAD,AGRA I,DVVNL
SDO2614321,DIV261432,CIR26143,ZNE26,2614321-EDSD MATH,EDD MATH,EDC II MATHURA,AGRA II,DVVNL
SDO2614222,DIV261422,CIR26142,ZNE26,2614222-EDSD II KOSI,EDD KOSI MATHURA,EDC I MATHURA,AGRA II,DVVNL
SDO2614221,DIV261422,CIR26142,ZNE26,2614221-EDSD CHOMUA,EDD KOSI MATHURA,EDC I MATHURA,AGRA II,DVVNL
SDO2517223,DIV251722,CIR25172,ZNE25,2517223-EDSD III BEWAR,EDD II MAINPURI,EDC MAINPURI,AGRA I,DVVNL
SDO2615421,DIV261542,CIR26154,ZNE26,2615421-EDSD I SITE C SIKANDARA,EDD LAKHANPUR AGRA,EDC AGRA,AGRA II,DVVNL
SDO2515122,DIV251512,CIR25151,ZNE25,2515122-EDSD II KHANDAULI,EDD ETMADPUR,EDC FATEHABAD,AGRA I,DVVNL
SDO2515111,DIV251511,CIR25151,ZNE25,2515111-EDSD I BAH,EDD BAH,EDC FATEHABAD,AGRA I,DVVNL
SDO2614131,DIV261413,CIR26141,ZNE26,2614131-EUDSD I MASANI,EUDD KRISHNANAGAR MATHURA,EUDC MATHURA,AGRA II,DVVNL
SDO2517222,DIV251722,CIR25172,ZNE25,2517222-EDSD II KISHNI,EDD II MAINPURI,EDC MAINPURI,AGRA I,DVVNL
SDO2615413,DIV261541,CIR26154,ZNE26,2615413-EDSD III BAROLI AHIR,EDD SIKANDARA AGRA,EDC AGRA,AGRA II,DVVNL
SDO2615442,DIV261544,CIR26154,ZNE26,2615442-EDSD II KIRAWALI,EDD KIRAWALI AGRA,EDC AGRA,AGRA II,DVVNL
SDO2615432,DIV261543,CIR26154,ZNE26,2615432-EDSD KAGAROL,EDD KHAIRAGARH,EDC AGRA,AGRA II,DVVNL
SDO2615441,DIV261544,CIR26154,ZNE26,2615441-EDSD I ACHNERA,EDD KIRAWALI AGRA,EDC AGRA,AGRA II,DVVNL
SDO2516351,DIV251635,CIR25163,ZNE25,2516351-EDSD JASRANA,EDD JASRANA,EDC FIROZABAD,AGRA I,DVVNL
SDO2615422,DIV261542,CIR26154,ZNE26,2615422-EDSD II MALPURA,EDD LAKHANPUR AGRA,EDC AGRA,AGRA II,DVVNL
SDO2516352,DIV251635,CIR25163,ZNE25,2516352-EDSD FARIHA,EDD JASRANA,EDC FIROZABAD,AGRA I,DVVNL
SDO2516332,DIV251633,CIR25163,ZNE25,2516332-EDSD II MAKKHANPUR,EDD SHIKOHABAD,EDC FIROZABAD,AGRA I,DVVNL
SDO2614312,DIV261431,CIR26143,ZNE26,2614312-EDSD II RAYA,EDD LAXMINAGAR MATHURA,EDC II MATHURA,AGRA II,DVVNL
SDO2614211,DIV261421,CIR26142,ZNE26,2614211-EDSD I AURANGABAD,EDD RURAL MATHURA,EDC I MATHURA,AGRA II,DVVNL
SDO2615411,DIV261541,CIR26154,ZNE26,2615411-EDSD I SIKANDARA,EDD SIKANDARA AGRA,EDC AGRA,AGRA II,DVVNL
SDO2515131,DIV251513,CIR25151,ZNE25,2515131-EDSD I FATEHABAD,EDD FATEHABAD AGRA,EDC FATEHABAD,AGRA I,DVVNL
SDO2515113,DIV251511,CIR25151,ZNE25,2515113-EDSD III JAITPUR,EDD BAH,EDC FATEHABAD,AGRA I,DVVNL
SDO2614232,DIV261423,CIR26142,ZNE26,2614232-EDSD II BARSANA,EDD GOVERDHAN MATHURA,EDC I MATHURA,AGRA II,DVVNL
SDO2614322,DIV261432,CIR26143,ZNE26,2614322-EDSD NAUJHEEL,EDD MATH,EDC II MATHURA,AGRA II,DVVNL
SDO2517221,DIV251722,CIR25172,ZNE25,2517221-EDSD I BHOGAON,EDD II MAINPURI,EDC MAINPURI,AGRA I,DVVNL
SDO2517234,DIV251723,CIR25172,ZNE25,2517234-EDSD IV BARNAHAL,EDD III MAINPURI,EDC MAINPURI,AGRA I,DVVNL
SDO2515132,DIV251513,CIR25151,ZNE25,2515132-EDSD II SHAMSHABAD,EDD FATEHABAD AGRA,EDC FATEHABAD,AGRA I,DVVNL
SDO2515112,DIV251511,CIR25151,ZNE25,2515112-EDSD II PINAHAT,EDD BAH,EDC FATEHABAD,AGRA I,DVVNL
SDO2614223,DIV261422,CIR26142,ZNE26,2614223-EDSD CHHAATA,EDD KOSI MATHURA,EDC I MATHURA,AGRA II,DVVNL
SDO2614233,DIV261423,CIR26142,ZNE26,2614233-EDSD DATIYA,EDD GOVERDHAN MATHURA,EDC I MATHURA,AGRA II,DVVNL
SDO2614231,DIV261423,CIR26142,ZNE26,2614231-EDSD I GOVERDHAN,EDD GOVERDHAN MATHURA,EDC I MATHURA,AGRA II,DVVNL
SDO2614311,DIV261431,CIR26143,ZNE26,2614311-EDSD I LAXMI NAGAR,EDD LAXMINAGAR MATHURA,EDC II MATHURA,AGRA II,DVVNL
SDO2615433,DIV261543,CIR26154,ZNE26,2615433-EDSD JAGNER,EDD KHAIRAGARH,EDC AGRA,AGRA II,DVVNL
SDO2517233,DIV251723,CIR25172,ZNE25,2517233-EDSD III KURAWLI,EDD III MAINPURI,EDC MAINPURI,AGRA I,DVVNL
SDO2615431,DIV261543,CIR26154,ZNE26,2615431-EDSD KHERAGARH,EDD KHAIRAGARH,EDC AGRA,AGRA II,DVVNL
SDO2517232,DIV251723,CIR25172,ZNE25,2517232-EDSD II GHIROR,EDD III MAINPURI,EDC MAINPURI,AGRA I,DVVNL
SDO2615412,DIV261541,CIR26154,ZNE26,2615412-EDSD II BAAD,EDD SIKANDARA AGRA,EDC AGRA,AGRA II,DVVNL
SDO2515121,DIV251512,CIR25151,ZNE25,2515121-EDSD I ETMADPUR,EDD ETMADPUR,EDC FATEHABAD,AGRA I,DVVNL
SDO2515133,DIV251513,CIR25151,ZNE25,2515133-EDSD III DHIMSRI,EDD FATEHABAD AGRA,EDC FATEHABAD,AGRA I,DVVNL
SDO2614213,DIV261421,CIR26142,ZNE26,2614213-EDSD BALDEV,EDD RURAL MATHURA,EDC I MATHURA,AGRA II,DVVNL
SDO2614212,DIV261421,CIR26142,ZNE26,2614212-EDSD FARAH,EDD RURAL MATHURA,EDC I MATHURA,AGRA II,DVVNL
SDO2614122,DIV261412,CIR26141,ZNE26,2614122-EUDSD CHATIKARA,EUDD VRINDAVAN MATHURA,EUDC MATHURA,AGRA II,DVVNL
SDO2614133,DIV261413,CIR26141,ZNE26,2614133-EUDSD III GOVINDPUR,EUDD KRISHNANAGAR MATHURA,EUDC MATHURA,AGRA II,DVVNL
SDO2112119,DIV211211,CIR21121,ZNE21,EUDSD SASNI GATE,EUDD  I ALIGARH,EUDC ALIGARH,ALIGARH,DVVNL
SDO2112139,DIV211213,CIR21121,ZNE21,EUDSD INDUSTRIAL ESTATE,EUDD  III ALIGARH,EUDC ALIGARH,ALIGARH,DVVNL
SDO2112129,DIV211212,CIR21121,ZNE21,EUDSD RAVAN TILA,EUDD  II ALIGARH,EUDC ALIGARH,ALIGARH,DVVNL
SDO2112121,DIV211212,CIR21121,ZNE21,EUDSD QUARSI,EUDD  II ALIGARH,EUDC ALIGARH,ALIGARH,DVVNL
SDO2112111,DIV211211,CIR21121,ZNE21,EUDSD BARAHDWARI,EUDD  I ALIGARH,EUDC ALIGARH,ALIGARH,DVVNL
SDO2112131,DIV211213,CIR21121,ZNE21,EUDSD  I GOOLER ROAD,EUDD  III ALIGARH,EUDC ALIGARH,ALIGARH,DVVNL
SDO2335129,DIV233512,CIR23351,ZNE23,(Temp SDO) 2335129,EUDD  II JHANSI,EUDC JHANSI,JHANSI,DVVNL
SDO2230339,DIV223033,CIR22303,ZNE22,EDSD II BHARTHANA,EDD ETAWAH,EDC ETAWAH,KANPUR,DVVNL
SDO2335119,DIV233511,CIR23351,ZNE23,JAIL CHAURAHA,EUDD  I JHANSI,EUDC JHANSI,JHANSI,DVVNL
SDO2230319,DIV223031,CIR22303,ZNE22,EDSD  I ETAWAH,EUDD ETAWAH,EDC ETAWAH,KANPUR,DVVNL
SDO2229239,DIV222923,CIR22292,ZNE22,EUDSD I FATEHGARH TOWN,EUDD FARRUKHABAD,EDC FARRUKHABAD,KANPUR,DVVNL
SDO2170323,DIV217032,CIR21703,ZNE21,EDSD-3 ETAH,EDD  II ETAH,EDC-ETAH,ALIGARH,DVVNL
SDO2113213,DIV211321,CIR21132,ZNE21,(SDO) 2113213,EDD  I HATHRAS,EDC-HATHRAS,ALIGARH,DVVNL
SDO2113239,DIV211323,CIR21132,ZNE21,EDSD I SIKANDRA RAO,EDD  III HATHRAS,EDC-HATHRAS,ALIGARH,DVVNL
SDO2516329,DIV251632,CIR25163,ZNE25,EDSD TUNDLA,EDD-Tundla,EDC FIROZABAD,AGRA I,DVVNL
SDO2113249,DIV211324,CIR21132,ZNE21,EDSD I SADABAD,EDD-4-HATHRAS,EDC-HATHRAS,ALIGARH,DVVNL
SDO2439129,DIV243912,CIR24391,ZNE24,(Temp SDO) 2439129,EDD-KARWI CHITTRAKOOT,EDC BANDA,BANDA,DVVNL
SDO2229238,DIV222923,CIR22292,ZNE22,EUDSD II FARRUKHABAD,EUDD FARRUKHABAD,EDC FARRUKHABAD,KANPUR,DVVNL
SDO2113211,DIV211321,CIR21132,ZNE21,EDSD  I MURSHAN GATE,EDD  I HATHRAS,EDC-HATHRAS,ALIGARH,DVVNL
SDO2113212,DIV211321,CIR21132,ZNE21,EDSD  II WATER WORKS,EDD  I HATHRAS,EDC-HATHRAS,ALIGARH,DVVNL
SDO2516311,DIV251631,CIR25163,ZNE25,EDSD I FIROZABAD,EDD FIROZABAD,EDC FIROZABAD,AGRA I,DVVNL
SDO2516312,DIV251631,CIR25163,ZNE25,EDSD II FIROZABAD,EDD FIROZABAD,EDC FIROZABAD,AGRA I,DVVNL
SDO2516341,DIV251634,CIR25163,ZNE25,EDSD I SIRSAGANJ,EDD SIRSAGANJ,EDC FIROZABAD,AGRA I,DVVNL
SDO2516342,DIV251634,CIR25163,ZNE25,EDSD II SIRSAGANJ,EDD SIRSAGANJ,EDC FIROZABAD,AGRA I,DVVNL
SDO2229411,DIV222941,CIR22294,ZNE22,EDSD  III KANNAUJ TOWN,EDD KANNAUJ,EDC KANNAUJ,KANPUR,DVVNL
SDO2229421,DIV222942,CIR22294,ZNE22,EDSD II GURSAYGANJ,EDD CHHIBRAMAU,EDC KANNAUJ,KANPUR,DVVNL
SDO2229422,DIV222942,CIR22294,ZNE22,EDSD I CHHIBRAMAU,EDD CHHIBRAMAU,EDC KANNAUJ,KANPUR,DVVNL
SDO2439111,DIV243911,CIR24391,ZNE24,EUDSD  I PILIKOTHI,EUDD BANDA,EDC BANDA,BANDA,DVVNL
SDO2439112,DIV243911,CIR24391,ZNE24,EUDSD  II CHILLAROAD,EUDD BANDA,EDC BANDA,BANDA,DVVNL
SDO2439131,DIV243913,CIR24391,ZNE24,EDSD ATARRA,EDD ATRRA,EDC BANDA,BANDA,DVVNL
SDO2230312,DIV223031,CIR22303,ZNE22,EDSD  II ETAWAH,EUDD ETAWAH,EDC ETAWAH,KANPUR,DVVNL
SDO2230313,DIV223031,CIR22303,ZNE22,EDSD  III ETAWAH,EUDD ETAWAH,EDC ETAWAH,KANPUR,DVVNL
SDO2112142,DIV211214,CIR21121,ZNE21,EUDSD JAMALPUR,EUDD  IV ALIGARH,EUDC ALIGARH,ALIGARH,DVVNL
SDO2170521,DIV217052,CIR21705,ZNE21,EDSD  I GANJDUNDWARA,EDD KASGANJ RURAL,EDC KASGANJ,ALIGARH,DVVNL
SDO2335139,DIV233513,CIR23351,ZNE23,(Temp SDO) 2335139,EUDD-3-JHANSI,EUDC JHANSI,JHANSI,DVVNL
SDO2514131,DIV251413,CIR25141,ZNE25,EUDSD-1 MASANI,EUDD-III-Mathura,EUDC-MATHURA,AGRA I,DVVNL
SDO2514132,DIV251413,CIR25141,ZNE25,EUDSD-2 KRISHNA NAGAR,EUDD-III-Mathura,EUDC-MATHURA,AGRA I,DVVNL
SDO2514133,DIV251413,CIR25141,ZNE25,EUDSD-3 GOVINDPUR,EUDD-III-Mathura,EUDC-MATHURA,AGRA I,DVVNL
SDO2514511,DIV251451,CIR25145,ZNE25,EDSD-1 KOSIKALAN,EDD-2-KOSIKALAN,EDC-MATHURA,AGRA I,DVVNL
SDO2514129,DIV251412,CIR25141,ZNE25,(Temp sdo) 2514129,EUDD-II-MATHURA,EUDC-MATHURA,AGRA I,DVVNL
SDO2437111,DIV243711,CIR24371,ZNE24,EDSD MAHOBA TOWN,EDD  I MAHOBA,EDC MAHOBA,BANDA,DVVNL
SDO2229233,DIV222923,CIR22292,ZNE22,EUDSD III LAKULA,EUDD FARRUKHABAD,EDC FARRUKHABAD,KANPUR,DVVNL
SDO2170312,DIV217031,CIR21703,ZNE21,EUDSD  II,EUDD-ETAH,EDC-ETAH,ALIGARH,DVVNL
SDO2170311,DIV217031,CIR21703,ZNE21,EUDSD  I,EUDD-ETAH,EDC-ETAH,ALIGARH,DVVNL
SDO2113219,DIV211321,CIR21132,ZNE21,(Temp SDO) 2113219,EDD  I HATHRAS,EDC-HATHRAS,ALIGARH,DVVNL
SDO2514119,DIV251411,CIR25141,ZNE25,(Temp sdo) 25141132,EUDD-I-MATHURA,EUDC-MATHURA,AGRA I,DVVNL
SDO2514139,DIV251413,CIR25141,ZNE25,(Temp sdo) 2514139,EUDD-III-Mathura,EUDC-MATHURA,AGRA I,DVVNL
SDO2516319,DIV251631,CIR25163,ZNE25,(Temp SDO) 2516319,EDD FIROZABAD,EDC FIROZABAD,AGRA I,DVVNL
SDO2112429,DIV211242,CIR21124,ZNE21,EDSD II CHARRA,EDD ATRAULI ALIGARH,EDC-ALIGARH,ALIGARH,DVVNL
SDO2112421,DIV211242,CIR21124,ZNE21,EDSD  I ATRAULI TOWN,EDD ATRAULI ALIGARH,EDC-ALIGARH,ALIGARH,DVVNL
SDO2334219,DIV233421,CIR23342,ZNE23,EDSD III JALAUN,EDD  II ORAI,EDC ORAI,JHANSI,DVVNL
SDO2437219,DIV243721,CIR24372,ZNE24,EDSD I HAMIRPUR,EDD-HAMIRPUR,EDC HAMIRPUR,BANDA,DVVNL
SDO2437221,DIV243722,CIR24372,ZNE24,(SDO MAHOBA) 2437221,EDD-MAHOBA,EDC HAMIRPUR,BANDA,DVVNL
SDO2170331,DIV217033,CIR21703,ZNE21,EDSD I PRABHU PARK,EDD-KASGANJ,EDC-ETAH,ALIGARH,DVVNL
SDO2336319,DIV233631,CIR23363,ZNE23,EDSD I LALITPUR,EDD  I LALITPUR,EDC JHANSI,JHANSI,DVVNL
SDO2437218,DIV243721,CIR24372,ZNE24,(Temp SDO) 2437218,EDD-HAMIRPUR,EDC HAMIRPUR,BANDA,DVVNL
SDO2233119,DIV223311,CIR22331,ZNE22,EDSD I GHATAMPUR,EDD-Ghatampur,EDC I KANPUR,KANPUR,DVVNL
SDO2439119,DIV243911,CIR24391,ZNE24,(Temp SDO) 2439119,EUDD BANDA,EDC BANDA,BANDA,DVVNL
SDO2229219,DIV222921,CIR22292,ZNE22,(Temp SDO) 2229219,EDD FARRUKKHABAD,EDC FARRUKHABAD,KANPUR,DVVNL
SDO2334229,DIV233422,CIR23342,ZNE23,EDSD II KONCH,EDD  I ORAI,EDC ORAI,JHANSI,DVVNL
SDO2229213,DIV222921,CIR22292,ZNE22,EDSD III RAJEPUR,EDD FARRUKKHABAD,EDC FARRUKHABAD,KANPUR,DVVNL
SDO2439118,DIV243911,CIR24391,ZNE24,(TEMP SDO) 2439118,EUDD BANDA,EDC BANDA,BANDA,DVVNL
SDO2437217,DIV243721,CIR24372,ZNE24,EDSD MAUDAHA,EDD-HAMIRPUR,EDC HAMIRPUR,BANDA,DVVNL
SDO2334218,DIV233421,CIR23342,ZNE23,EDSD I KALPI,EDD  II ORAI,EDC ORAI,JHANSI,DVVNL
SDO2517219,DIV251721,CIR25172,ZNE25,EDSD I MAINPURI,EDD  I MAINPURI,EDC MAINPURI,AGRA I,DVVNL
SDO2516339,DIV251633,CIR25163,ZNE25,EDSD I SHIKOHABAD,EDD SHIKOHABAD,EDC FIROZABAD,AGRA I,DVVNL
SDO2336329,DIV233632,CIR23363,ZNE23,(TEMP SDO)2336329,EDD MAURANIPUR,EDC JHANSI,JHANSI,DVVNL
SDO2230329,DIV223032,CIR22303,ZNE22,EDSD III TAKHA,EDD SAIFAI ETAWAH,EDC ETAWAH,KANPUR,DVVNL
SDO2170339,DIV217033,CIR21703,ZNE21,(TEMP SDO) 2170339,EDD-KASGANJ,EDC-ETAH,ALIGARH,DVVNL
SDO2229229,DIV222922,CIR22292,ZNE22,EDSD KAYAMGANJ,EDD KAYAMGANJ,EDC FARRUKHABAD,KANPUR,DVVNL
SDO2334228,DIV233422,CIR23342,ZNE23,ORAI II TOWN,EDD  I ORAI,EDC ORAI,JHANSI,DVVNL
SDO2230511,DIV223051,CIR22305,ZNE22,EDSD AURAIYA TOWN,EDD AURAIYA,EDC AURAIYA,KANPUR,DVVNL
SDO2516411,DIV251641,CIR25164,ZNE25,EUDSD  I SUHAG NAGAR,EUDD  I FIROZABAD,EUDC FIROZABAD,AGRA I,DVVNL
SDO2516412,DIV251641,CIR25164,ZNE25,EUDSD  II LABOUR COLONY,EUDD  I FIROZABAD,EUDC FIROZABAD,AGRA I,DVVNL
SDO2516413,DIV251641,CIR25164,ZNE25,EUDSD  III RASOOLPUR,EUDD  I FIROZABAD,EUDC FIROZABAD,AGRA I,DVVNL
SDO2516421,DIV251642,CIR25164,ZNE25,EUDSD  I ASFABAD,EUDD  II FIROZABAD,EUDC FIROZABAD,AGRA I,DVVNL
SDO2516422,DIV251642,CIR25164,ZNE25,EUDSD  II SN HOSPITAL,EUDD  II FIROZABAD,EUDC FIROZABAD,AGRA I,DVVNL
SDO2112141,DIV211214,CIR21121,ZNE21,EUDSD CLOCK TOWER,EUDD  IV ALIGARH,EUDC ALIGARH,ALIGARH,DVVNL
SDO2437231,DIV243723,CIR24372,ZNE24,EDSD RATH,EDD RATH,EDC HAMIRPUR,BANDA,DVVNL
SDO2439211,DIV243921,CIR24392,ZNE24,EDSD  I KARWI,EDD CHITRAKOOT DHAM,EDC CHITRAKOOT DHAM,BANDA,DVVNL
SDO2336315,DIV233631,CIR23363,ZNE23,EDSD-5 LALITPUR,EDD  I LALITPUR,EDC JHANSI,JHANSI,DVVNL
SDO2336415,DIV233641,CIR23364,ZNE23,EDSD-5 LALITPUR,EDD-1-LALITPUR,EDC LALITPUR,JHANSI,DVVNL
SDO2334212,DIV233421,CIR23342,ZNE23,2334212-EDSD II MADHOGARH,EDD  II ORAI,EDC ORAI,JHANSI,DVVNL
SDO2336317,DIV233631,CIR23363,ZNE23,2336317-EDSD BANSI,EDD  I LALITPUR,EDC JHANSI,JHANSI,DVVNL
SDO2334215,DIV233421,CIR23342,ZNE23,2334215-EDSD V KADORA,EDD  II ORAI,EDC ORAI,JHANSI,DVVNL
SDO2336424,DIV233642,CIR23364,ZNE23,2336424-EDSD-VII MD,EDD MAHRAUNI LALITPUR,EDC LALITPUR,JHANSI,DVVNL
SDO2336423,DIV233642,CIR23364,ZNE23,2336423-EDSD-VI PL,EDD MAHRAUNI LALITPUR,EDC LALITPUR,JHANSI,DVVNL
SDO2336323,DIV233632,CIR23363,ZNE23,2336323-EDSD II GURSARAI,EDD MAURANIPUR,EDC JHANSI,JHANSI,DVVNL
SDO2336333,DIV233633,CIR23363,ZNE23,2336333-EDSD III MOTH,EDD-2 Jhansi,EDC JHANSI,JHANSI,DVVNL
SDO2336331,DIV233633,CIR23363,ZNE23,2336331-EDSD I JHANSI RURAL,EDD-2 Jhansi,EDC JHANSI,JHANSI,DVVNL
SDO2334226,DIV233422,CIR23342,ZNE23,2334226-EDSD I ORAI,EDD  I ORAI,EDC ORAI,JHANSI,DVVNL
SDO2336421,DIV233642,CIR23364,ZNE23,2336421-EDSD-II LP,EDD MAHRAUNI LALITPUR,EDC LALITPUR,JHANSI,DVVNL
SDO2336422,DIV233642,CIR23364,ZNE23,2336422-EDSD-III MH,EDD MAHRAUNI LALITPUR,EDC LALITPUR,JHANSI,DVVNL
SDO2336318,DIV233631,CIR23363,ZNE23,2336318-EDSD IV TALBEHAT,EDD  I LALITPUR,EDC JHANSI,JHANSI,DVVNL
SDO2336322,DIV233632,CIR23363,ZNE23,2336322-EDSD I MAURANIPUR RURAL,EDD MAURANIPUR,EDC JHANSI,JHANSI,DVVNL
SDO2336324,DIV233632,CIR23363,ZNE23,2336324-EDSD IV TEHROLI,EDD MAURANIPUR,EDC JHANSI,JHANSI,DVVNL
SDO2336332,DIV233633,CIR23363,ZNE23,2336332-EDSD II BABINA,EDD-2 Jhansi,EDC JHANSI,JHANSI,DVVNL
SDO2334214,DIV233421,CIR23342,ZNE23,2334214-EDSD IV KUTHOND,EDD  II ORAI,EDC ORAI,JHANSI,DVVNL
